* ******************************************************************************

* iCEcube Pin Table

* Version:            2016.02.27810

* Build Date:         Jan 28 2016 17:38:31

* File Generated:     Jun 5 2016 21:32:02

* Purpose:            Detailed IO and package pin info

* Copyright (C) 2006-2010 by Lattice Semiconductor Corp. All rights reserved.

* ******************************************************************************

Device, iCE40HX8K
Package, CT256

Pin Number, Pin Type Name, Signal Name, Direction, Global Buffer, IO Standard, Pull Up, IO Function, IO Bank, 
---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, 
J3, PIO_GBIN, CLK_i, Input, glb Buff, SB_LVCMOS, No Pull Up, Simple Input, leftBank
J4, PIO, not used, , , , , , leftBank
J5, PIO, not used, , , , , , leftBank
J6, VCCIO_3, not used, , , , , , leftBank
J7, GND, not used, , , , , , UnknownBank
J8, GND, not used, , , , , , UnknownBank
J9, GND, not used, , , , , , UnknownBank
J10, PIO, not used, , , , , , rightBank
J11, PIO, not used, , , , , , rightBank
J12, PIO, not used, , , , , , rightBank
J13, PIO, not used, , , , , , rightBank
J14, PIO, not used, , , , , , rightBank
J15, PIO, not used, , , , , , rightBank
J16, PIO, not used, , , , , , rightBank
K1, PIO, not used, , , , , , leftBank
K2, GND, not used, , , , , , UnknownBank
K3, PIO, not used, , , , , , leftBank
K4, PIO, not used, , , , , , leftBank
K5, PIO, not used, , , , , , leftBank
K6, VCC, not used, , , , , , UnknownBank
K7, GND, not used, , , , , , UnknownBank
K8, VCCIO_2, not used, , , , , , bottomBank
K9, PIO_GBIN, not used, , , , , , bottomBank
K10, VCC, not used, , , , , , UnknownBank
K11, PIO, not used, , , , , , bottomBank
K12, PIO, not used, , , , , , rightBank
K13, PIO, not used, , , , , , rightBank
K14, PIO, not used, , , , , , rightBank
K15, PIO, not used, , , , , , rightBank
K16, PIO, not used, , , , , , rightBank
L1, PIO, not used, , , , , , leftBank
L2, VCC, not used, , , , , , UnknownBank
L3, PIO, not used, , , , , , leftBank
L4, PIO, not used, , , , , , leftBank
